ProductID, CarModel, CarPrice
8893,	Ram 2500,	521963.45
9444,	Tundra,	672222.04
253,	Savana 1500,	504465.72
1283,	Cabriolet,	646077.11
8905,	Mariner,	699890.24
8877,	Land Cruiser,	694373.94
101,	Impreza,	546977.55
8854,	X6,	528353.8
9043,	Galant,	706964.35
492,	Justy,	798573.59
9212,	M-Class,	722114.57
7891,	Taurus X,	761182.85
3334,	CL-Class,	568015.89
8898,	Avenger,	646591.02
4531,	Pathfinder,	670304.84
3327,	M3,	728986.85
7975,	R-Class,	665854.24
7029,	FCX Clarity,	707705.42
2373,	Corolla,	563380.63
5839,	Tempo,	686028.43
1459,	SL-Class,	526717.03
8464,	Monte Carlo,	569743.98
7705,	Continental Flying Spur,	649917
8048,	Celica,	702988.61
5595,	7 Series,	767834.18
3962,	Cube,	669596.52
480,	Ram 1500 Club,	515209.24
7827,	Regal,	649144
4263,	3500,	655358.88
4533,	Grand Prix,	695215.79
